Date|Open|High|Low|Close*|Adj. close**|Volume
20 Sept 2024|144.50|144.83|144.10|144.62|144.62|2,974,941
19 Sept 2024|144.50|145.00|143.18|144.02|144.02|3,443,075
18 Sept 2024|142.65|143.75|142.36|143.32|143.32|1,505,418
17 Sept 2024|144.00|144.00|143.03|143.04|143.04|1,556,054
16 Sept 2024|142.05|143.12|141.85|142.99|142.99|1,751,879
13 Sept 2024|143.40|143.58|140.94|141.65|141.65|1,991,893
12 Sept 2024|141.96|143.07|141.66|142.96|142.96|1,811,911
11 Sept 2024|143.40|143.49|140.79|141.05|141.05|2,649,391
10 Sept 2024|144.06|145.24|143.19|143.77|143.77|2,029,126
09 Sept 2024|140.87|143.00|140.50|142.95|142.95|1,988,596
06 Sept 2024|141.78|144.25|141.40|143.47|143.47|2,666,532
05 Sept 2024|140.63|141.85|140.34|141.35|141.35|1,585,378
04 Sept 2024|141.50|141.57|139.04|139.94|139.94|2,211,376
03 Sept 2024|141.64|143.38|141.45|143.38|143.38|1,892,624
02 Sept 2024|139.35|141.87|138.67|141.77|141.77|1,751,323
30 Aug 2024|139.45|139.88|139.00|139.50|139.50|4,322,628
29 Aug 2024|138.35|139.33|138.03|138.80|138.80|2,115,830
28 Aug 2024|136.95|138.57|136.20|138.57|138.57|2,608,279
27 Aug 2024|138.34|138.49|136.80|137.43|137.43|2,163,558
26 Aug 2024|137.51|139.29|137.18|138.81|138.81|1,888,745
23 Aug 2024|136.40|136.80|135.85|136.80|136.80|1,738,992
22 Aug 2024|136.95|136.99|135.98|136.46|136.46|1,565,951
21 Aug 2024|138.22|138.37|135.65|136.03|136.03|3,533,301
21 Aug 2024|2.5Dividend
20 Aug 2024|140.25|141.34|139.02|139.60|137.10|1,651,316
19 Aug 2024|137.72|139.25|137.37|139.25|136.76|1,937,287
16 Aug 2024|137.04|138.13|136.54|138.13|135.66|4,427,410
15 Aug 2024|134.00|136.09|133.94|134.90|132.48|2,248,327
14 Aug 2024|134.50|134.59|132.71|134.21|131.81|1,734,568
13 Aug 2024|130.43|132.52|130.23|132.52|130.15|1,465,262
12 Aug 2024|130.70|131.04|130.15|130.53|128.19|886,756
09 Aug 2024|130.00|130.23|128.88|129.55|127.23|1,941,651
08 Aug 2024|127.35|129.11|126.96|129.11|126.80|1,663,083
07 Aug 2024|126.88|128.21|126.73|127.34|125.06|1,843,515
06 Aug 2024|125.50|128.42|125.50|127.69|125.40|2,570,052
05 Aug 2024|130.60|130.78|124.89|124.89|122.65|3,591,234
02 Aug 2024|133.50|134.25|131.66|132.46|130.09|3,839,143
